"method","true_group","tau_true","iteration","estimate"
"Pooled","Group A (tau=2)",2,50,2.62223801092611
"DP Bayes","Group B (tau=4)",4,50,4.06376932736545
"Flexible","Group B (tau=4)",4,50,4.05759828011124
"L0 (L=0.5)","Group B (tau=4)",4,50,4.07162035827227
"Pooled","Group B (tau=4)",4,50,2.62223801092611
"DP Bayes","Group A (tau=2)",2,51,1.92267553135079
"Flexible","Group A (tau=2)",2,51,1.93554465480675
"L0 (L=0.5)","Group A (tau=2)",2,51,1.92184065700286
"Pooled","Group A (tau=2)",2,51,2.5347043888893
"DP Bayes","Group B (tau=4)",4,51,3.96782009340143
"Flexible","Group B (tau=4)",4,51,3.98038772232342
"L0 (L=0.5)","Group B (tau=4)",4,51,3.96471976329098
"Pooled","Group B (tau=4)",4,51,2.5347043888893
"DP Bayes","Group A (tau=2)",2,52,2.00135751415876
"Flexible","Group A (tau=2)",2,52,2.00704894022005
"L0 (L=0.5)","Group A (tau=2)",2,52,1.99678706865063
"Pooled","Group A (tau=2)",2,52,2.60695366572795
"DP Bayes","Group B (tau=4)",4,52,4.032913978449
"Flexible","Group B (tau=4)",4,52,4.04031531686751
"L0 (L=0.5)","Group B (tau=4)",4,52,4.03067572557503
"Pooled","Group B (tau=4)",4,52,2.60695366572795
"DP Bayes","Group A (tau=2)",2,53,2.05070997496883
"Flexible","Group A (tau=2)",2,53,2.05183785809408
"L0 (L=0.5)","Group A (tau=2)",2,53,2.04709487450847
"Pooled","Group A (tau=2)",2,53,2.6256834580499
"DP Bayes","Group B (tau=4)",4,53,3.9743998132957
"Flexible","Group B (tau=4)",4,53,4.00195409883496
"L0 (L=0.5)","Group B (tau=4)",4,53,3.97572348631322
"Pooled","Group B (tau=4)",4,53,2.6256834580499
"DP Bayes","Group A (tau=2)",2,54,1.99319576530449
"Flexible","Group A (tau=2)",2,54,2.01907875048333
"L0 (L=0.5)","Group A (tau=2)",2,54,1.9971978442493
"Pooled","Group A (tau=2)",2,54,2.58524017328284
"DP Bayes","Group B (tau=4)",4,54,3.96104602185611
"Flexible","Group B (tau=4)",4,54,3.97738639268231
"L0 (L=0.5)","Group B (tau=4)",4,54,3.95733894102775
"Pooled","Group B (tau=4)",4,54,2.58524017328284
"DP Bayes","Group A (tau=2)",2,55,1.93095867364892
"Flexible","Group A (tau=2)",2,55,1.92197206472947
"L0 (L=0.5)","Group A (tau=2)",2,55,1.93277747946482
"Pooled","Group A (tau=2)",2,55,2.56102002472801
"DP Bayes","Group B (tau=4)",4,55,4.02995384492357
"Flexible","Group B (tau=4)",4,55,4.00851134219438
"L0 (L=0.5)","Group B (tau=4)",4,55,4.02691929700879
"Pooled","Group B (tau=4)",4,55,2.56102002472801
"DP Bayes","Group A (tau=2)",2,56,1.98224028951564
"Flexible","Group A (tau=2)",2,56,1.98285308925119
"L0 (L=0.5)","Group A (tau=2)",2,56,1.9778589234802
"Pooled","Group A (tau=2)",2,56,2.59501643336101
"DP Bayes","Group B (tau=4)",4,56,4.04119805163515
"Flexible","Group B (tau=4)",4,56,4.05568957715137
"L0 (L=0.5)","Group B (tau=4)",4,56,4.03505062308291
"Pooled","Group B (tau=4)",4,56,2.59501643336101
"DP Bayes","Group A (tau=2)",2,57,1.94790413616696
"Flexible","Group A (tau=2)",2,57,1.92794139247236
"L0 (L=0.5)","Group A (tau=2)",2,57,1.9462794747197
"Pooled","Group A (tau=2)",2,57,2.56851546666235
"DP Bayes","Group B (tau=4)",4,57,4.02383999021159
"Flexible","Group B (tau=4)",4,57,3.9629845887205
"L0 (L=0.5)","Group B (tau=4)",4,57,4.02039944786189
"Pooled","Group B (tau=4)",4,57,2.56851546666235
"DP Bayes","Group A (tau=2)",2,58,1.95151055647216
"Flexible","Group A (tau=2)",2,58,1.92287584235317
"L0 (L=0.5)","Group A (tau=2)",2,58,1.94268240057842
"Pooled","Group A (tau=2)",2,58,2.59117616988871
"DP Bayes","Group B (tau=4)",4,58,4.11267927557648
"Flexible","Group B (tau=4)",4,58,4.10549461083412
"L0 (L=0.5)","Group B (tau=4)",4,58,4.1043282982794
